invoiceAmount,invoiceDiscountAmount,invoiceProfit
1596,84,135
1790.46,55.38,191.2048
1718.66,119.48,122.6609
80,0,10.5
28.26,0,3.68
120,0,17
1317.5,40.75,151.1525
2639.4144,53.8656,279.1544
108,0,14.4
763.47,40.18,69.4075
369.36,19.44,31.26
238.45,12.55,19.45
170,0,69.5
70,0,7.5
99.75,0,13.65
30,0,3.75
856.9,45.1,74.7
340.44,3.44,42.1012
279.36,8.64,28.92
120,0,16.68
225.4,4.6,27.24
1552,48,121.85
1100,0,60
225,0,29.77
579.09,17.91,60.09
1567.36,82.49,141.4575
474.53,24.98,38.925
321,0,68.03
70.34,1.44,6.6044
115.43,1.17,14.034
318.5,6.5,36
41.5,0,7.31
18,0,2.34
120.29,5.01,11.288
210.93,6.52,21.4265
59.72,0,5.81
179.26,5.54,18.656
1002.98,25.72,105.7325
170,0,24.53
229.31,7.09,21.858
1086.8,57.2,90.7
90,0,12.52
230.3,4.7,24.12
180,7.5,18.4
550.08,22.92,50.08
370.89,2.61,60.1855
1412.38,74.34,133.574
252.69,7.82,23.715
148,0,17.27
410.6,12.7,41.401
45,0,6.75
2228.07,117.27,211.343
159.08,4.92,15.75
170,0,28.18
301.84,6.16,32.94
4382.92,230.68,361.6
952.22,19.43,144.927
49.88,2.63,5.005
619.83,19.17,62.83
580.13,14.88,62.735
339.25,17.86,32.205
391.05,3.95,48.34
308.35,16.23,25.371
757.52,39.87,61.8805
379.1,15.8,35.854
115,0,15
130,0,15.46
578.6,30.45,44.0975
301.29,3.04,60.5167
420.81,8.59,48.352
550.76,11.24,58.07
105.6,5.56,17.762
470.57,7.17,69.6239
230,5.9,30.0825
213.75,11.25,22.5
1002.24,41.76,94.44
590.94,12.06,66.98
25,0,10
3851.68,202.72,247.68
369,19.42,30.979
115.34,1.76,12.6435
18,0,2.34
484.5,25.5,43.5
380,0,49.6
100.43,2.05,14.6104
129.6,5.4,12.6
155,0,23.03
377.57,15.73,32.318
100.75,5.3,8.5475
825.26,16.84,95.058
570,30,48
814.23,16.62,84.853
1694.74,89.197,178.253
1404.56,43.44,114.08
149.76,6.24,7.94
1029.7901,37.3499,86.6701
952.61,34.55,48.2294
433.49,22.82,39.385
60,0,13.86
300,0,41.36
90,0,11.2
67.6,0,10.5
1333.63,55.57,127.562
129,0,19.35
208.15,4.25,28.082
29,0,9.9
170.24,5.27,18.465
50,0,7.5
67.25,0,8.78
703.95,37.05,58.88
24,0,6.6
68.2,0,8.6
1113.4,58.6,134.8
872.64,36.36,92.48
178.125,9.375,15.125
130,0,19.5
102.6,5.4,9.5
427.77,13.23,92.89
129.07,2.63,14.166
542.38,16.77,58.69
199.13,6.16,20.5313
139.89,1.41,17.287
902.1,27.9,93.1
