invoiceAmount,invoiceDiscountAmount,invoiceProfit,invoiceDate
800,15,77,1/1/2019 9:10
100,2.9,12.5,1/1/2019 9:20
46.8,0,6.1,1/1/2019 9:30
180,10,15.2,1/1/2019 9:37
160,4,16.21,1/1/2019 9:39
170,5,20,1/1/2019 9:59
57,0,7.07,1/1/2019 10:27
1400,140.88,66.9,1/1/2019 10:29
20,0,3.2,1/1/2019 10:29
460,21.3,42.4,1/1/2019 10:50
130,0,17,1/1/2019 11:03
150,0,13.64,1/1/2019 11:16
200,8,19.1,1/1/2019 11:17
190,8,17,1/1/2019 12:01
99.18,0,10.11,1/1/2019 12:10
430,10,12.9,1/1/2019 12:26
150,5,15.11,1/1/2019 12:45
80,9.31,1.695,1/1/2019 12:56
2430,129,126.9,1/1/2019 12:57
20,4,-0.82,1/1/2019 1:02
90,0.9,10.95,1/1/2019 1:11
40,1.2,8,1/1/2019 1:16
1799.21,94.7,162.655,1/1/2019 1:17
44.7,0,6.54,1/1/2019 1:19
3556.35,309.25,83.152,1/1/2019 1:38
185,5,23.5,1/1/2019 1:43
20,0,5.8,1/1/2019 4:13
440,20,60,1/1/2019 4:22
847,50,67,1/1/2019 4:29
35.7,0,5.13,1/1/2019 4:32
74.67,3.93,6.47,1/1/2019 4:32
486.21,25.59,38.31,1/1/2019 4:43
874.95,46.05,74.57,1/1/2019 4:58
312.16,27.14,22.956,1/1/2019 5:08
209,11,16.04,1/1/2019 5:35
212.88,0,47.64,1/1/2019 5:37
285,15,30,1/1/2019 5:43
2700,90,189,1/1/2019 5:47
685.69,21.21,74.803,1/1/2019 6:01
14,0,2.04,1/1/2019 6:04
300,0.55,71.1,1/1/2019 6:05
640,8.3,76.2,1/1/2019 6:13
13.1,0,1.78,1/1/2019 6:24
100,0,18,1/1/2019 6:34
278.16,0,33.81,1/1/2019 6:37
140,9.4,8.79,1/1/2019 6:38
29,0,4.37,1/1/2019 6:40
1310,74,75.92,1/1/2019 6:43
380.8,0,60.5,1/1/2019 6:49
229.9,12.1,19.5,1/1/2019 6:52
204.25,10.75,19.25,1/1/2019 6:54
780,42.2,70.2,1/1/2019 7:02
560,20,55.65,1/1/2019 7:04
540,60,46,1/1/2019 7:08
250,5,29.74,1/1/2019 7:10
289.74,8.96,30.639,1/1/2019 7:17
599.04,24.96,56.24,1/1/2019 7:20
180,3.75,20.22,1/1/2019 7:20
390,12.25,39.5,1/1/2019 7:30
50,0,7.88,1/1/2019 7:31
1340.16,55.84,124.16,1/1/2019 7:36
778.81,40.99,66.49,1/1/2019 7:40
150,9.54,11.463,1/1/2019 7:51
4075.2,169.8,278.05,1/1/2019 7:55
1999.636,105.244,242.696,1/1/2019 8:00
30,0,8.7,1/1/2019 8:02
404.985,21.315,34.285,1/1/2019 8:03
237.63,12.51,18.993,1/1/2019 8:07
263.04,13.84,22.156,1/1/2019 8:10
199.5,0,26.95,1/1/2019 8:11
266.96,17.04,19.86,1/1/2019 8:12
36,0,4.68,1/1/2019 8:12
38.4,0,5.41,1/1/2019 8:14
689.25,36.75,60.21,1/1/2019 8:17
168.15,8.85,14.15,1/1/2019 8:17
940,0,190,1/1/2019 8:26
495.53,26.08,40.9595,1/1/2019 8:31
1177.62,61.98,92.46,1/1/2019 8:32
24,0,2.95,1/1/2019 8:34
729.63,38.4,60.6285,1/1/2019 8:38
1760,60,100,1/1/2019 8:38
626.15,32.96,58.045,1/1/2019 8:39
337.44,14.06,32.34,1/1/2019 8:42
32.44,1.71,2.4425,1/1/2019 8:45
2196.15,79.65,205.927,1/1/2019 8:48
330,7.2,33.97,1/1/2019 8:49
48,0,5.9,1/1/2019 8:51
420,10,51.07,1/1/2019 8:53
280,5,34,1/1/2019 8:54
450,22.6,38.2,1/1/2019 8:58
20,0,2,1/1/2019 8:59
82.94,4.37,7.135,1/1/2019 9:00
230.4,9.6,30.4,1/1/2019 9:02
35,0,7,1/1/2019 9:04
160,2.12,17.83,1/1/2019 9:05
630,20,25.5,1/1/2019 9:07
518.95,16.05,83.49,1/1/2019 9:08
2406.35,126.65,206.02,1/1/2019 9:20
29,0,4,1/1/2019 9:09
700,35,63.8,1/1/2019 9:10
50,0,6.05,1/1/2019 9:10
40,0,5.2,1/1/2019 9:17
409.26,21.54,34.65,1/1/2019 9:20
140,0,16,1/1/2019 9:22
180,3.75,20.22,1/1/2019 9:22
700,23,71.4,1/1/2019 9:30
454.1,23.9,35.1,1/1/2019 9:31
160,1.28,19.76,1/1/2019 9:33
731.37,38.49,61.887,1/1/2019 9:41
322.53,16.98,28.875,1/1/2019 9:42
20,0,4.6,1/1/2019 9:43
1140,20,99.66,1/1/2019 9:45
2710.07,142.64,228.765,1/1/2019 9:45
50,4,3.02,1/1/2019 9:46
80,5,5,1/1/2019 9:47
801.44,42.18,74.359,1/1/2019 9:49
250,7.89,25.77,1/1/2019 9:54
25.95,0,3.76,1/1/2019 9:59
18,0,2.34,1/1/2019 10:00
1120,30,83.75,1/1/2019 10:03
797.05,41.95,70.05,1/1/2019 10:19
40,0,12.5,1/1/2019 10:21
160,0,20,1/1/2019 10:25
790.55,24.45,29.55,1/1/2019 10:29
190.37,3.89,19.365,1/1/2019 10:30
480,19.1,50.6,1/1/2019 10:46
90,0,9.36,1/1/2019 10:51
350,0,44.34,1/1/2019 11:01
730,26.5,40.51,1/1/2019 11:10
42.05,0,5.86,1/1/2019 11:11
474.41,24.97,36.981,1/2/2019 8:57
100,3.45,23.26,1/2/2019 9:16
60,0,13.86,1/2/2019 9:16
150,9.2,11.8,1/2/2019 9:25
40,5.44,-0.32,1/2/2019 9:30
20,0,6,1/2/2019 10:07
50,0,20,1/2/2019 10:12
100,4,10.2,1/2/2019 10:24
200,6.6,22.8,1/2/2019 11:01
520,15,43.34,1/2/2019 11:02
1300,55,111.38,1/2/2019 11:05
30,0,17.55,1/2/2019 11:07
1360,50,77,1/2/2019 11:10
240,2,32.5,1/2/2019 11:11
20,0,5.84,1/2/2019 11:20
330,0,45,1/2/2019 11:44
200,7.5,19.9,1/2/2019 12:01
447.8,23.57,51.3715,1/2/2019 12:24
90,0,20.79,1/2/2019 12:37
650,0,83.9,1/2/2019 12:39
394.25,20.75,39.55,1/2/2019 12:44
45,0,5.88,1/2/2019 1:02
240,0,31.4,1/2/2019 1:10
48,0,6.36,1/2/2019 1:19
1899.84,0,254.74,1/2/2019 1:23
400,10,28.29,1/2/2019 1:30
630,25.2,57.3,1/2/2019 1:32
110,9.5,13.5,1/2/2019 4:34
28,0,4.4,1/2/2019 4:53
5342.88,222.62,380.8,1/2/2019 4:53
570,20,23.7,1/2/2019 4:56
750,37.1,13.1,1/2/2019 5:01
50,2.5,4.4,1/2/2019 5:09
720,30.2,68,1/2/2019 5:17
304,16,25.74,1/2/2019 5:22
180,0.15,23.8,1/2/2019 5:28
30,0,5,1/2/2019 5:44
480,25.88,40.12,2/11/2019 5:36
190,5,21.7,1/2/2019 5:51
40,0.5,6.94,1/2/2019 5:58
